Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[Age at launch]	Unit	Term Source REF	Term Accession Number	Characteristics[diet]	Characteristics[Experiment Start Date (DD/MM/YYYY)]	Characteristics[Experiment End Date (DD/MM/YYYY)]	Characteristics[duration]	Unit	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Protocol REF	Comment[Feeding Schedule]	Parameter Value[light cycle]	Parameter Value[habitat]	Term Source REF	Term Accession Number	Parameter Value[Enrichment material]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Euthanasia Method]	Parameter Value[Euthanasia Date]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[vehicle]	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation]	Term Source REF	Term Accession Number	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose rate]	Unit	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number
GC10	GC10_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/05/2018	24/06/2018	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Ground Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	ad libitum	12 h light/dark cycle	Rodent Habitat			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	18/06/2018	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
GC11	GC11_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/05/2018	24/06/2018	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Ground Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	ad libitum	12 h light/dark cycle	Rodent Habitat			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	18/06/2018	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
GC13	GC13_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/05/2018	24/06/2018	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Ground Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	ad libitum	12 h light/dark cycle	Rodent Habitat			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	18/06/2018	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
GC14	GC14_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/05/2018	24/06/2018	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Ground Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	ad libitum	12 h light/dark cycle	Rodent Habitat			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	18/06/2018	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
GC15	GC15_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/05/2018	24/06/2018	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Ground Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	ad libitum	12 h light/dark cycle	Rodent Habitat			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	18/06/2018	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
GC16	GC16_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/05/2018	24/06/2018	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Ground Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	ad libitum	12 h light/dark cycle	Rodent Habitat			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	18/06/2018	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
GC17	GC17_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/05/2018	24/06/2018	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Ground Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	ad libitum	12 h light/dark cycle	Rodent Habitat			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	18/06/2018	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
GC18	GC18_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/05/2018	24/06/2018	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Ground Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	ad libitum	12 h light/dark cycle	Rodent Habitat			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	18/06/2018	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
GC19	GC19_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/05/2018	24/06/2018	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Ground Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	ad libitum	12 h light/dark cycle	Rodent Habitat			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	18/06/2018	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
GC20	GC20_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type			Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/05/2018	24/06/2018	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Ground Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	ad libitum	12 h light/dark cycle	Rodent Habitat			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	18/06/2018	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	Not Applicable	OSD	https://osdr.nasa.gov/	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/
V10	Viv10_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/05/2018	22/06/2018	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Vivarium Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	ad libitum	12 h light/dark cycle	Vivarium Cage			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	22/06/2018	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
V12	Viv12_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/05/2018	22/06/2018	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Vivarium Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	ad libitum	12 h light/dark cycle	Vivarium Cage			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	22/06/2018	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
V13	Viv13_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/05/2018	22/06/2018	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Vivarium Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	ad libitum	12 h light/dark cycle	Vivarium Cage			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	22/06/2018	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
V14	Viv14_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/05/2018	22/06/2018	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Vivarium Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	ad libitum	12 h light/dark cycle	Vivarium Cage			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	22/06/2018	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
V15	Viv15_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/05/2018	22/06/2018	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Vivarium Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	ad libitum	12 h light/dark cycle	Vivarium Cage			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	22/06/2018	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
V16	Viv16_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/05/2018	22/06/2018	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Vivarium Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	ad libitum	12 h light/dark cycle	Vivarium Cage			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	22/06/2018	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
V17	Viv17_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/05/2018	22/06/2018	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Vivarium Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	ad libitum	12 h light/dark cycle	Vivarium Cage			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	22/06/2018	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
V18	Viv18_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/05/2018	22/06/2018	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Vivarium Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	ad libitum	12 h light/dark cycle	Vivarium Cage			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	22/06/2018	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
V19	Viv19_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/05/2018	22/06/2018	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Vivarium Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	ad libitum	12 h light/dark cycle	Vivarium Cage			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	22/06/2018	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
V20	Viv20_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/05/2018	22/06/2018	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Vivarium Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	ad libitum	12 h light/dark cycle	Vivarium Cage			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	22/06/2018	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
